source,target,realValue,layerID,layerColor,layerUnit
Diesel,Mob public,0.49,Diesel,#D3D3D3,TWh
Diesel,Freight,4.47,Diesel,#D3D3D3,TWh
Gas,Elec,1.17,NG,#FFD700,TWh
Wind,Elec,12.95,Wind,#27AE34,TWh
Hydro River,Elec,1.40,Hydro River,#0000FF,TWh
Solar,Elec,0.06,Solar,#FFFF00,TWh
Geothermal,Elec,2.26,Geothermal,#FF0000,TWh
Waste,Boilers,3.26,Waste,#808000,TWh
Wood,Biofuels,17.12,Wood,#CD853F,TWh
Wood,Gasifi.,0.44,Wood,#CD853F,TWh
Gasifi.,Gas,0.33,NG,#FFD700,TWh
Gasifi.,DHN,0.04,Heat LT,#FA8072,TWh
Gasifi.,Elec,0.01,Electricity,#00BFFF,TWh
Wet biomass,Biomethanation,0.92,Wood,#CD853F,TWh
Biomethanation,Gas,0.86,NG,#FFD700,TWh
Elec,Mob priv,3.86,Electricity,#00BFFF,TWh
Elec,Mob public,0.64,Electricity,#00BFFF,TWh
Elec,Freight,0.29,Electricity,#00BFFF,TWh
Elec,Exp & Loss,4.19,Electricity,#00BFFF,TWh
Elec,Curt.,0.01,Electricity,#00BFFF,TWh
Elec,Elec demand,14.34,Electricity,#00BFFF,TWh
Elec,HPs,8.15,Electricity,#00BFFF,TWh
Elec,Heat HT,2.44,Electricity,#00BFFF,TWh
Gas,SNG sto.,0.70,NG,#FFD700,TWh
SNG sto.,Gas,0.69,NG,#FFD700,TWh
HPs,Heat LT Dec,14.08,Heat LT,#FA8072,TWh
HPs,DHN,11.02,Heat LT,#FA8072,TWh
HPs,Dec. Sto,2.10,Heat LT,#FA8072,TWh
Biofuels,Elec,0.27,Electricity,#00BFFF,TWh
Biofuels,Boilers,0.00,Oil,#8B008B,TWh
Boilers,Heat HT,2.67,Heat HT,#DC143C,TWh
Dec. Sto,Heat LT Dec,1.98,Heat LT,#FA8072,TWh
DHN,Heat LT DHN,5.65,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.77,Heat LT,#FA8072,TWh
DHN,DHN Sto,4.64,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,3.79,Heat LT,#FA8072,TWh
Oil,Non-Energy,6.44,Oil,#8B008B,TWh
